"","SAMPLID","AREA","OLD_SAMP","SDATE","SPEC","SAMP_TYPE","GEAR","BD","LAT","LON","LF_SAMPLER","FISHING_VESSEL_1","FISHING_VESSEL_2","FISHING_VESSEL_3","CARRIER","FOREIGN_VESSEL","CRUISE","SETNO","COMMENTS","PLANT","AGER1","AGER2","MARKET_WEIGHT_KG","HOW_LF_OBTAINED","HOW_DETAIL_OBTAINED","DETAIL_SAMPLER","WEIR_CODE"
"49",20200128,466,NA,2020-06-16,60,5,2,0,4516.3,6456.8,"Albert Gaudet","Sealife II",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 1 of 3","Atlantic Catch Data",NA,NA,71403,NA,NA,NA,NA
"50",20200622,466,NA,2020-07-23,60,2,3,1,4516.9,6516.73,NA,"Alfred Needler",NA,NA,NA,NA,"NED2020025",88,"Ecosystem summer survey 4VWX 5Yb",NA,"DK",NA,NA,NA,NA,"Derek Knox and Claire Mussells",NA
"51",20200827,465,NA,2020-09-09,60,5,2,0,4355,6629,"Dave Welch","Fundy Monarch",NA,NA,NA,NA,NA,NA,"Lurcher, 4XQ, 2 of 2","Atlantic Catch Data",NA,NA,37500,NA,NA,NA,NA
"52",20200865,465,NA,2020-09-14,60,4,2,0,4315,6621,"Walter Beach","Fundy Monarch",NA,NA,NA,NA,NA,NA,"German Bank, 4XQ, 1 of 2","Comeau's Sea Foods Ltd.","LC",NA,62000,NA,NA,"Claire Neufeld",NA
"53",20200054,465,NA,2020-06-02,60,5,2,0,4338.4,6635.2,"Albert Gaudet","Sealife II",NA,NA,NA,NA,NA,NA,"Gannet Dry Ledge, 4XQ, 2 of 2","Atlantic Catch Data",NA,NA,27500,NA,NA,NA,NA
"54",20200055,465,NA,2020-06-02,60,5,2,0,4338.5,6634.5,"Albert Gaudet","Tasha Marie",NA,NA,NA,NA,NA,NA,"Gannet Dry Ledge, 4XQ","Atlantic Catch Data",NA,NA,39000,NA,NA,NA,NA
"55",20200786,466,NA,2020-09-04,60,4,2,0,4420,6622,"Walter Beach","Brunswick Provider",NA,NA,NA,NA,NA,NA,"NW Ledge, 4XR, 1 of 2","Connors #10, Blacks Harbour",NA,NA,10000,NA,NA,NA,NA
"56",20200787,466,NA,2020-09-04,60,5,2,0,4420,6622,"Ed Blackier","Brunswick Provider",NA,NA,NA,NA,NA,NA,"NW Ledge, 4XR, 2 of 2, Tally #52","Atlantic Catch Data",NA,NA,10000,NA,NA,NA,NA
"57",20200788,466,NA,2020-09-04,60,4,2,0,4421,6622,"Ken Dougan, Connors","Fundy Monarch",NA,NA,NA,NA,NA,NA,"NW Ledge, 4XR, 1 of 2","Connors #10, Blacks Harbour",NA,NA,16500,NA,NA,NA,NA
"58",20200789,466,NA,2020-09-04,60,5,2,0,4421,6622,"Ed Blackier","Fundy Monarch",NA,NA,NA,NA,NA,NA,"NW Ledge, 4XR, 2 of 2, Tallt #53","Atlantic Catch Data",NA,NA,16500,NA,NA,NA,NA
"59",20200946,467,NA,2020-10-02,60,5,2,0,4444.26,6643.03,"Ed Blackier","Brunswick Provider",NA,NA,NA,NA,NA,NA,"Long Island, Grand Manan, 4XS, 2 of 2, Tally #64","Atlantic Catch Data",NA,NA,33500,NA,NA,NA,NA
